"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
167,12/31/2025 0:00:00,87,0,0,0,0,0,0,16665674,0,0,0,0,0,0,0,9225238,0,0,0,0,0,0,0,0,0,10606374,0,0,0,0,1474500,0,0,1893294,29258706,0,0,0,0,0,529,4,7,26,0,0,136,2,0,0,227,4,231,269,0,67,1,302,533,1959,639,0,23,0,0,0,23,2666
168,12/31/2025 0:00:00,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405000,0,0,0,0,405000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,52,0,0,0,0,0,0,260
169,12/31/2025 0:00:00,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,12/31/2025 0:00:00,92,0,0,0,0,0,0,22692997,0,0,0,0,0,0,0,94428454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34647489,208287011,0,0,0,0,56518071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2526,1185,0,0,0,0,0,0,1591
187,12/31/2025 0:00:00,100,0,0,0,0,0,0,22929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320215,0,0,84618,432945,0,0,0,0,5183,5,0,0,0,0,0,1,0,3,0,5,0,5,0,0,1,0,0,5,37,22,3,0,0,0,0,0,38
195,12/31/2025 0:00:00,104,0,0,0,0,0,0,64812,0,0,0,0,0,0,0,416565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722813,0,0,0,0,241436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,137
196,12/31/2025 0:00:00,105,0,0,0,0,0,0,26771717,0,0,0,0,0,0,0,415713194,0,0,0,0,0,0,0,0,0,5760611,0,0,0,0,0,0,0,12252738,535753861,0,0,0,0,81016212,543,0,0,3,0,0,162,0,135,0,306,0,306,234,0,8,0,237,543,2814,8504,5,0,0,0,0,0,5381
198,12/31/2025 0:00:00,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,60
199,12/31/2025 0:00:00,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153499,0,0,1616522,6143860,0,0,0,0,4004001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,543,12,0,0,0,0,0,0,305
200,12/31/2025 0:00:00,109,0,0,0,0,0,0,446957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,10
