"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
66585,12/31/2025 0:00:00,20807,0,114274158,4379396,554286,1,0,2340981,0,0,0,0,0,0,0,0,0,0,0,0,12464983,41716476,2506138,0,0,56687597,470832,0,0,0,0,470832,0,-568028,0,1583464,0,0,305453,1888917,0,0,0,0,19649,837294963,0,0,0,0,0,0,0,0,01/01/2023,311000,968278819,0,0,0,0,0,0,0,0,0,0,0,4584505,0,0,0,0,0,0,0,0,0,0
66592,12/31/2025 0:00:00,20814,0,0,2743684,0,1,0,1803420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831527,0,0,0,1831527,0,0,0,0,0,202038009,0,0,0,0,0,0,0,0,01/01/2023,0,248452333,0,0,0,0,0,0,0,0,0,0,0,2249077,0,0,0,0,0,0,0,0,0,0
66593,12/31/2025 0:00:00,20815,0,16347847,1086791,3564703,1,0,310138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13143823,4928392,299594,459065,2884202,4572570,0,0,-240960,0,26641,0,0,0,26641,0,0,0,0,0,125503131,0,0,0,0,0,0,0,0,01/01/2023,320,143329581,0,0,0,0,0,0,0,0,0,0,0,22946,0,0,0,0,0,33,4147058,0,0,0
66594,12/31/2025 0:00:00,20816,0,0,1062199,746210,1,0,4081902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934565,1320299,5622606,2017395,0,11894865,0,0,0,2685189,0,0,0,2685189,0,0,0,0,0,820164452,0,0,0,0,0,0,0,0,01/01/2023,876678,907754928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,807930,0,0,0,0,0
66595,12/31/2025 0:00:00,20817,0,26516902,1459959,617698,1,0,601419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174224,64399,0,238623,0,0,0,0,0,0,0,-6275,0,123968,0,0,0,123968,0,0,0,0,0,302004346,0,0,0,0,0,0,0,0,Fiscal Year 2022,384179,341813979,0,0,0,0,0,0,0,0,0,0,0,156122,0,0,0,0,0,0,0,0,0,0
66597,12/31/2025 0:00:00,20819,0,17170839,4662892,1324469,1,0,2048907,0,0,0,0,0,0,0,0,0,0,0,0,14638886,995143,29674749,24448814,1007855,70765447,0,0,0,0,0,0,0,-3023931,0,27510,0,0,0,27510,0,0,0,0,0,656481804,0,0,0,0,0,0,0,0,01/01/2023,0,759207882,0,0,0,0,0,0,0,0,0,0,0,1585813,0,0,0,0,0,0,0,0,0,0
66615,12/31/2025 0:00:00,20837,0,13500000,717491,44349,1,0,316187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1233,0,0,0,-1233,0,0,0,0,0,106280719,0,0,0,0,0,0,0,0,01/01/2023,0,121088675,0,0,0,0,0,0,0,0,0,0,0,96118,0,0,0,0,0,0,0,0,0,0
66616,12/31/2025 0:00:00,20838,0,0,1199634,160859,1,0,461792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21707,0,0,0,21707,0,0,0,0,0,73692261,0,0,0,0,0,0,0,0,01/01/2023,137674,87055715,0,0,0,0,0,0,0,0,0,0,0,501461,0,0,0,0,0,0,0,0,0,0
66618,12/31/2025 0:00:00,20840,0,0,303306,67864,1,0,36262,0,0,0,0,0,0,0,0,0,0,0,0,2194379,753758,0,0,0,2948137,0,0,0,0,0,0,0,-1863,0,25418,-6,6,0,25418,0,0,0,0,0,31507558,0,0,0,0,0,0,0,0,01/01/2023,17600,34363901,0,0,0,0,0,0,0,0,0,0,0,142307,0,0,0,0,0,0,0,0,0,0
66622,12/31/2025 0:00:00,20844,0,0,238752,2018,1,0,144105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,100000,0,0,0,550000,0,0,0,56113,0,0,0,56113,0,0,0,0,0,21266372,0,0,0,0,0,0,0,0,03/01/2023,101593,24441198,0,0,0,0,0,0,0,0,0,0,0,132817,0,0,0,0,0,0,0,0,0,0
